Accuracy,Author,Date,Full_Text,Genre,Opponents,Participants,Race Number,Racer,Rank,Speed,Title,errors
97.6%,Grandaddy,"Sun, 12 May 2019 06:24:05 +0000","Don't change your name, keep it the same for fear I may lose you again. I know you won't, it's just that I'm unorganized and I want to find you when something good happens. If you come down, we'll go to town - I haven't been there for years. But I'd be fine wasting our time not doing anything here.",song,grim_polar_fox (2nd place),5,2564,Liad (ozonzono),3,65 WPM Try,A.M. 180,"[(""Don't"", ""t instead of '""), ('the', 'a instead of t'), ('down,', 'e instead of w'), (""haven't"", ""t instead of '""), ('years.', 'o instead of e'), ('not', 't instead of n'), ('here.', 'e instead of .')]"
97.5%,Garth Brooks,"Sun, 12 May 2019 06:25:05 +0000",You know a dream is like a river ever changing as it flows and a dreamer's just a vessel that must follow where it goes. Trying to learn from what's behind you and never knowing what's in store makes each day a constant battle just to stay between the shores.,song,walker0 (3rd place),5,2565,Liad (ozonzono),1,67 WPM Try,The River,"[('like', 'k instead of i'), ('river', 'c instead of e'), ('learn', 'n instead of r'), (""what's"", ""' instead of t""), ('never', 'e instead of n'), ('shores.', 'e instead of r')]"
97.7%,The Weeknd,"Sun, 12 May 2019 06:25:58 +0000","Homeless to Forbes List, these people bring no stress. I feel like Moses, I feel like I'm chosen. And if you ain't my friend then your girl single to me. I don't give a damn if a guy said he knew me.",song,,5,2566,Liad (ozonzono),1,64 WPM Try,Sidewalks,"[('List,', 'k instead of s'), ('these', 'r instead of s'), ('people', 't instead of p'), ('no', 't instead of s'), ('then', ' instead of n')]"
94.3%,Vivendi Universal,"Sun, 12 May 2019 06:55:07 +0000","And so we meet at last. You are to be commended for avoiding my traps. The work of a man who once had too much time on his hands, and now finds time for nothing but the work of salvation.",game,cyleyt (5th place) danndilion (3rd place) iammomo (1st place) sgoldins (2nd place),5,2567,Liad (ozonzono),4,60 WPM Try,Half-Life 2,"[('And', 'N instead of n'), ('meet', 't instead of e'), ('at', ' instead of t'), ('avoiding', 'i instead of o'), ('of', 'a instead of o'), ('once', 'n instead of c'), ('had', 'a instead of h'), ('time', 'i instead of t'), ('on', 'f instead of n'), ('nothing', 't instead of n'), ('the', 'w instead of w')]"
96.3%,Jonathan Swift,"Sun, 12 May 2019 06:56:14 +0000","When a great office is vacant, either by death or disgrace (which often happens), five or six of those candidates petition the emperor to entertain his majesty and the court with a dance on the rope; and whoever jumps the highest, without falling, succeeds in the office.",book,danndilion (5th place) estalow (2nd place) rjnal (3rd place) shlee (1st place),5,2568,Liad (ozonzono),4,61 WPM Try,Gulliver's Travels,"[('vacant,', 'a instead of v'), ('disgrace', 's instead of d'), ('(which', ' instead of w'), ('often', 'r instead of n'), ('happens),', 's instead of n'), ('five', 'r instead of v'), ('court', 'o instead of u'), ('rope;', 'u instead of r'), ('highest,', 'g instead of h'), ('falling,', ' instead of ,')]"
96.9%,S.E. Hinton,"Sun, 12 May 2019 06:57:33 +0000","Cherry no longer looked sick, only sad. ""I'll bet you think the Socs have it made. The rich kids, the West-side Socs. I'll tell you something, Ponyboy, and it may come as a surprise. We have troubles you've never even heard of. You want to know something?"" She looked me straight in the eye. ""Things are rough all over.""",book,parkevan27 (1st place) rjnal (2nd place),4,2569,Liad (ozonzono),3,59 WPM Try,The Outsiders,"[('only', 'l instead of o'), ('bet', 'y instead of y'), ('you', 'y instead of y'), ('kids,', 'd instead of k'), ('West-side', ' instead of s'), ('Ponyboy,', ' instead of b'), ('it', 'n instead of t'), ('as', ' instead of s'), ('""Things', 't instead of T')]"
95.1%,National Science Resources Center,"Sun, 12 May 2019 06:59:03 +0000","Why study science? Science, more than any other discipline, provides us with tools to learn about the world. Science is not a listing of facts; science is an invitation to observe the world, ask questions, and puzzle over problems and enjoy the process of solving them. From the time children begin to perceive their environment, they are involved in science.",book,,2,2570,Liad (ozonzono),1,61 WPM Try,Magnets and Motors: Teacher's Guide,"[('other', 't instead of o'), ('discipline,', 's instead of d'), ('the', 'w instead of e'), ('science', 'd instead of s'), ('invitation', 'v instead of n'), ('observe', 'b instead of o'), ('questions,', 's instead of e'), ('over', 'f instead of v'), ('process', 'e instead of c'), ('solving', 'l instead of s'), ('children', 'e instead of r'), ('perceive', 'i instead of e'), ('environment,', 'm instead of n'), ('involved', 'o instead of v')]"
94.5%,The Cure,"Sun, 12 May 2019 07:00:31 +0000",So it's all come back round to breaking apart again. Breaking apart like I'm made up of glass again. Making it up behind my back again. Holding my breath for the fear of sleep again. Holding it up behind my head again. Cut in deep to the heart of the bone again. Round and round and round and it's coming apart again. Over and over and over.,song,parkevan27 (2nd place),5,2571,Liad (ozonzono),5,55 WPM Try,Disintegration,"[('round', 't instead of r'), ('again.', 'g instead of a'), ('apart', ' instead of p'), ('glass', 'l instead of g'), ('again.', 'g instead of a'), ('Making', 'i instead of n'), ('it', 't instead of i'), ('back', 'k instead of c'), ('breath', 'e instead of r'), ('the', 'h instead of t'), ('fear', 'r instead of e'), ('behind', 'd instead of n'), ('Cut', 'B instead of C'), ('again.', 'g instead of a'), ('round', 'a instead of r'), ('and', 't instead of d'), ('coming', 'o instead of c')]"
96.0%,Jonathan Swift,"Sun, 12 May 2019 07:02:09 +0000","It is a maxim among these lawyers, that whatever hath been done before may legally be done again: and therefore they take special care to record all the decisions formerly made against common justice and the general reason of mankind. These, under the name of precedents, they produce as authorities, to justify the most iniquitous opinions; and the judges never fail of decreeing accordingly.",book,,3,2572,Liad (ozonzono),2,59 WPM Try,Gulliver's Travels,"[('maxim', 'n instead of m'), ('among', 'i instead of o'), ('lawyers,', ' instead of ,'), ('whatever', 't instead of w'), ('done', 'm instead of n'), ('before', 'f instead of b'), ('therefore', ' instead of f'), ('care', ' instead of a'), ('the', 'e instead of h'), ('justice', 'c instead of i'), ('These,', '| instead of T'), ('of', 'r instead of f'), ('opinions;', 'o instead of i'), ('judges', 's instead of d')]"
97.8%,Simon & Garfunkel,"Sun, 12 May 2019 07:03:21 +0000","My life seems unreal, my crime an illusion, a scene badly written in which I must play. Yet I know as I gaze at my young love beside me the morning is just a few hours away.",song,,3,2573,Liad (ozonzono),2,66 WPM Try,"Wednesday Morning, 3 A.M.","[('written', 'n instead of e'), ('play.', 'a instead of l'), ('beside', 'v instead of e'), ('away.', 'r instead of w')]"
96.7%,Robert Hamburger,"Sun, 12 May 2019 07:04:29 +0000","Is it sweeter to exist only in the mind or to exist both in the mind and in reality? Flipping out and wailing on guitars is much sweeter when someone is actually doing it. So when we conceive of the sweetest being ever, we are conceiving of the being that exists both in the mind and in reality.",book,istiaq28 (2nd place) scholdemort (1st place),5,2574,Liad (ozonzono),4,64 WPM Try,REAL Ultimate Power: The Official Ninja Book,"[('in', 't instead of i'), ('and', 'i instead of a'), ('reality?', 'y instead of i'), ('much', 's instead of c'), ('sweeter', 'e instead of w'), ('we', 'h instead of e'), ('sweetest', 'w instead of s'), ('conceiving', 'g instead of v'), ('reality.', 'i instead of t')]"
95.8%,Albert Schweitzer - English translation by Ernest Newman,"Sun, 12 May 2019 08:51:00 +0000","Bach's income, if we take into consideration the value of money at that time, cannot have been a poor one. He brought up his large family honestly, gave his children a good education, was profuse and cordial in his hospitality, and at his death left not only a rich collection of first-rate musical instruments, but also a not insignificant sum of money.",book,,5,2575,Liad (ozonzono),5,57 WPM Try,J. S. Bach (Volume I),"[(""Bach's"", 'A instead of a'), ('take', 'a instead of t'), ('consideration', 'i instead of o'), ('value', 'i instead of u'), ('brought', ' instead of t'), ('his', 't instead of h'), ('honestly,', 'l instead of t'), ('children', 'e instead of d'), ('education,', 'a instead of c'), ('cordial', 'a instead of i'), ('and', 't instead of d'), ('at', 't instead of d'), ('first-rate', 's instead of r'), ('musical', 'c instead of i'), ('insignificant', 'd instead of g')]"
95.4%,Kelly Corrigan,"Sun, 12 May 2019 08:52:25 +0000","And that's what this whole thing is about. Calling home. Instinctively. Even when all the paperwork - a marriage license, a notarized deed, two birth certificates, and seven years of tax returns - clearly indicates you're an adult, but all the same, there you are, clutching the phone and thanking God that you're still somebody's daughter.",book,flaming_gladius (3rd place),5,2576,Liad (ozonzono),4,57 WPM Try,The Middle Place,"[('Even', 'w instead of w'), ('when', 'w instead of w'), ('paperwork', 'a instead of p'), ('marriage', 'g instead of a'), ('license,', 's instead of n'), ('birth', 'h instead of t'), ('certificates,', 'i instead of e'), ('returns', 'a instead of t'), ('adult,', 'y instead of t'), ('all', ' instead of l'), ('you', 'a instead of y'), ('clutching', 'c instead of t'), ('thanking', 'i instead of a'), ('daughter.', 'a instead of d')]"
96.8%,Irvin Kershner,"Sun, 12 May 2019 08:53:28 +0000","Luke, you do not yet realize your importance. You have only begun to discover your power. Join me, and I will complete your training. With our combined strength, we can end this destructive conflict and bring order to the galaxy.",movie,,5,2577,Liad (ozonzono),3,62 WPM Try,The Empire Strikes Back,"[('begun', 'o instead of n'), ('will', 'e instead of i'), ('complete', 'p instead of m'), ('training.', 'a instead of r'), ('With', 'h instead of t'), ('destructive', 'u instead of c'), ('conflict', 'v instead of f')]"
96.8%,"Alain Boublil, Claude-Michel Schönberg","Sun, 12 May 2019 08:54:27 +0000","Master of the house, quick to catch your eye, never wants a passerby to pass him by. Servant to the poor, butler to the great, comforter, philosopher, and lifelong mate. Everybody's boon companion, everybody's chaperone.",other,,5,2578,Liad (ozonzono),4,58 WPM Try,Les Misérables,"[('catch', 'a instead of c'), ('your', 'e instead of e'), ('pass', 's instead of a'), ('butler', 't instead of r'), ('philosopher,', ' instead of ,'), ('lifelong', 'i instead of o'), ('companion,', 'p instead of m')]"
95.4%,Christopher Nolan,"Sun, 12 May 2019 16:18:46 +0000","Oh, you think darkness is your ally. But you merely adopted the dark; I was born in it, molded by it. I didn't see the light until I was already a man, by then it was nothing to me but blinding!",movie,abizern (1st place) stephan_t (2nd place),5,2579,Liad (ozonzono),4,58 WPM Try,The Dark Knight Rises,"[('is', 'n instead of s'), ('merely', 'r instead of e'), ('adopted', 't instead of p'), ('by', 't instead of b'), (""didn't"", 'o instead of i'), ('until', 'i instead of u'), ('already', 'w instead of r'), ('blinding!', '@ instead of !')]"
97.1%,Homer,"Sun, 12 May 2019 16:19:29 +0000","There will come a dawn or sunset or high noon when a man will take my life in battle too - flinging a spear perhaps, or whipping a deadly arrow off his bow.",book,joshido (3rd place) kenenalmat (4th place),5,2580,Liad (ozonzono),2,60 WPM Try,The Iliad,"[('come', 'a instead of a'), ('or', 'f instead of r'), ('high', 'h instead of i'), ('will', 'i instead of w'), ('flinging', 'g instead of f')]"
97.3%,Anthony Russo Joe Russo,"Mon, 13 May 2019 16:34:30 +0000","I know what it's like to lose. To feel so desperately that you're right, yet to fail nonetheless. Dread it. Run from it. Destiny still arrives. Or should I say, I have.",movie,foursquares (1st place) wille_1 (2nd place),5,2581,Liad (ozonzono),3,65 WPM Try,Avengers: Infinity War,"[('that', 't instead of a'), ('yet', 'r instead of t'), ('Dread', 'd instead of a'), ('Destiny', 'y instead of n'), ('still', 'a instead of s')]"
96.9%,Michael Lewis,"Mon, 13 May 2019 16:35:15 +0000","People in both fields operate with beliefs and biases. To the extent you can eliminate both and replace them with data, you gain a clear advantage.",book,balancedman (4th place) el871109 (1st place),5,2582,Liad (ozonzono),3,59 WPM Try,Moneyball,"[('in', 'o instead of i'), ('replace', 'a instead of p'), ('data,', ', instead of a'), ('gain', 'a instead of g')]"
96.0%,Gustave Flaubert,"Mon, 13 May 2019 16:36:28 +0000","You forget everything. The hours slip by. You travel in your chair through centuries you seem to see before you, your thoughts are caught up in the story, dallying with the details or following the course of the plot, you enter into characters, so that it seems as if it were your own heart beating beneath their costumes.",book,el871109 (2nd place),4,2583,Liad (ozonzono),3,62 WPM Try,Madame Bovary,"[('hours', 'r instead of h'), ('by.', ', instead of .'), ('centuries', 'e instead of i'), ('caught', 'b instead of c'), ('dallying', 's instead of d'), ('with', 'h instead of i'), ('you', 'y instead of e'), ('enter', 'n instead of e'), ('into', ' instead of o'), ('so', 'd instead of s'), ('as', 's instead of a'), ('costumes.', 'e instead of m')]"
97.5%,David Lynch and Mark Frost,"Mon, 13 May 2019 16:37:54 +0000","Sometimes ideas, like men, jump up and say 'hello'. They introduce themselves, these ideas, with words. Are they words? These ideas speak so strangely. All that we see in this world is based on someone's ideas. Some ideas are destructive, some are constructive. Some ideas can arrive in the form of a dream. I can say it again: some ideas arrive in the form of a dream.",other,edk2000 (2nd place) jreel23 (1st place) phoenixthestral (4th place),5,2584,Liad (ozonzono),3,61 WPM Try,Twin Peaks,"[('jump', 'p instead of m'), (""'hello'."", 'k instead of l'), ('strangely.', 'a instead of r'), ('All', '/ instead of A'), ('ideas.', 's instead of a'), ('Some', 'e instead of m'), ('arrive', 'i instead of r'), ('form', 'r instead of f')]"
